d_mm,p_mm,w_mm,eps_r,f_center_ghz,f_res_ghz,BW_10dB_ghz,S21_min_dB
10.18175148559203,11.448996623510402,2.9455802157612454,4.6633764254957235,4.881071695789583,5.448948769455867,0.34428189164963696,-23.829327625894354
17.383928830123953,11.198639584223997,4.066075180639934,2.855068175999632,4.749132017652511,4.122324356083965,0.41724016570042755,-35.60098749121098
14.649924272642563,22.406327868857623,3.8487724629927635,5.515099340748296,2.3830167946534306,3.3955245702745036,0.2529626213553534,-19.335866168190673
12.983231052462958,11.242285397441604,0.9387195425301136,4.529841708463118,5.690289619623201,4.474340324819399,0.2700183971136587,-14.728577871868017
7.450233005530457,11.623145344186728,0.9163974547590747,2.797374757516426,4.273888808627278,8.716490935461648,0.3626277222443857,-15.171494574058345
7.449931504202533,19.90977046110538,1.487236965175584,5.856884618428586,3.454902084542737,5.690243556846959,0.23155428531648664,-14.333054294115936
6.226045152102493,14.645577321659179,1.9331586864369785,4.169788760674218,5.026154333981227,8.12545799583622,0.34438504771532485,-17.43857044623829
16.327201822186687,20.20407946823808,2.1605867907607164,2.4770141171122892,3.029461833606536,4.301359819787983,0.32045507311995436,-16.992300113874723
13.01393764679011,8.11122467859455,3.4625466408000576,4.581965036777255,4.774039348185282,4.6500870409269215,0.38901611695752125,-33.40029635897411
14.35090722245057,15.288710292447533,0.47206607439600995,3.162155846648679,2.158844830288989,4.604757847409428,0.265733230689331,-11.376619982168572
5.75730617869753,7.571431203115805,0.36642898028511867,5.25403511713375,5.357632150437087,9.034443228283806,0.3041412929104434,-12.424480466889689
17.623873152024927,8.065104458741027,2.0811707021307635,5.307723879551524,3.792683388085274,3.305740982940866,0.3109766056194226,-22.9568239083509
15.905533010005271,22.409436706854986,3.5463857222623063,5.919999952247715,4.546771657431767,3.0629539958103074,0.23108110964911263,-18.163971838508004
8.154238883478452,9.367171308999119,1.1284896461911162,4.107104217893114,2.8849512792267347,7.21727866186033,0.33602197080716806,-16.73556538175749
7.772812090088758,16.051151598678693,3.279221510030008,3.9288361429654013,4.708294850633791,6.872693487274383,0.39069567954772316,-22.041215139524805
7.792556373167923,13.988625244212011,1.4471750621134374,5.063207300696627,5.088961103573107,6.387448386510811,0.2724387257329266,-15.372189769158133
9.30302803699422,12.904836546400325,4.453213322304879,2.703388494099321,3.892852747537595,7.184426788130788,0.526346692372501,-34.52734724336589
12.059455395402974,22.297166876683633,4.499311732479759,4.2782789524138725,4.470907696247178,4.381974345639284,0.3302173154109885,-21.976324449655912
10.899312733026447,7.370997745183321,1.6269785805503671,4.275740880497233,3.8253036952895942,5.620963797561759,0.3754833222804514,-22.90299737647779
9.140364252475525,18.284424664985014,1.3039700190235544,2.539997866679472,5.576365477031382,6.971944824492398,0.33142390577948805,-15.32197953951089
13.148161184029743,23.377705381630356,2.17425906591791,3.788339524926272,3.9914767220572767,4.307818804102736,0.2623454588063531,-16.248917954682383
7.2436732581505225,16.522859118851315,1.3545516088647138,5.442482234555367,5.3672348361152755,6.339201062791382,0.24911558847958068,-14.10343199224646
9.151808106690227,22.92598185456256,3.4274424478001775,5.453383763579708,5.205408233080995,4.825970517371582,0.29138822138777265,-18.54175069503015
10.079523041171147,7.888383947862404,4.165110485831771,2.577103126694788,3.642019285393426,7.341592459012059,0.5985576231428742,-39.476522732785895
11.20087480271295,14.119486424260744,3.430842228373842,2.5447393544417576,2.9203379674299,6.194151202304675,0.443519764329043,-28.255218632282464
15.31469951741267,11.42268244635487,4.156882146796877,3.1982428126073543,3.624328530239084,4.476715976391544,0.40807149172604223,-34.67929257548997
7.995922276979497,19.423956404672406,2.105562378595876,5.524111037705175,5.30486950310088,5.555478155019176,0.2617116455425597,-15.95171321129638
11.927930480170145,23.682050538453193,0.9503214594025322,2.6898298232792963,2.9105301432775694,5.2357672250973195,0.2685347334814519,-13.053384332483576
12.905182110775531,11.361011061552212,3.7421645475084424,4.935987849984295,4.097745383430997,4.379908128089934,0.3357956712238592,-27.446859604960075
6.080630158999972,18.120968225059265,1.9302776246794586,2.5844293545297923,5.22438699184299,9.29392563838708,0.4164624044384449,-17.677414976116214
13.09431064876798,10.367659756915582,3.422099961099836,4.5679238442417365,3.413909900513515,4.5185269708768345,0.350182844378562,-28.885258944787104
7.631551546091144,16.610614327717368,1.499090921512475,3.5530557366527504,4.56883854801079,7.242173764027688,0.31181329171784083,-16.168449538877606
6.313144912315994,14.886852273701717,0.5899022470720288,5.197873059270295,2.982526296195258,7.306398489526126,0.23083290770249962,-11.757220593428501
17.361069215666667,23.52409060373613,4.9643926183412646,3.088023705536382,2.4371177814726397,3.723952740008938,0.3450158863203916,-24.772176782604394
17.57040041343199,17.34496363583993,0.9497672380668765,4.628966951681847,5.177536900371425,3.2447424546334624,0.21668793641393672,-13.024143312274974
15.604966851455764,12.941608325475919,4.944420771024709,3.095593631388363,2.3958744936348273,4.406414143719255,0.4179136514695571,-35.995844538388546
9.307672114667135,8.939628343094867,4.890943676318947,4.911909075826184,3.0855255803183383,5.941729336862706,0.45389694904953154,-39.466985697159764
6.7209014250797985,9.571196088493888,4.01032689875859,5.519976531330846,5.420437687989761,7.5418051851496415,0.4429932591678211,-30.97147671604217
14.052912831401962,10.830387809170997,3.3652302179935885,2.6818468366816886,3.385877148314669,5.216152849446544,0.4387872845270005,-33.40001358115033
11.001906171745016,11.266433242785066,2.9734738412052066,5.493063616662914,5.892181398056644,4.80159550357754,0.3125331535676524,-24.468574354510928
7.025477935559735,21.460472983299343,4.357287417813606,4.455585966774333,5.918937339095439,6.442046541990185,0.4197227638898372,-21.826379590709394
11.689711376390878,16.540787400802923,1.589309703773542,2.6830198652946913,3.073104081814227,5.728829870779762,0.3297549855539295,-16.138409094579263
